channel,train_shape,test_shape,train_ndim,test_ndim
A-1,"(2880, 25)","(8640, 25)",2,2
A-2,"(2648, 25)","(7914, 25)",2,2
A-3,"(2736, 25)","(8205, 25)",2,2
A-4,"(2690, 25)","(8080, 25)",2,2
A-5,"(705, 25)","(4693, 25)",2,2
A-6,"(682, 25)","(4453, 25)",2,2
A-7,"(2879, 25)","(8631, 25)",2,2
A-8,"(762, 25)","(8375, 25)",2,2
A-9,"(762, 25)","(8434, 25)",2,2
B-1,"(2435, 25)","(8044, 25)",2,2
C-1,"(2158, 55)","(2264, 55)",2,2
C-2,"(764, 55)","(2051, 55)",2,2
D-1,"(2849, 25)","(8509, 25)",2,2
D-11,"(2611, 25)","(7431, 25)",2,2
D-12,"(312, 25)","(7918, 25)",2,2
D-13,"(1490, 25)","(7663, 25)",2,2
D-14,"(3675, 55)","(2625, 55)",2,2
D-15,"(2074, 55)","(2158, 55)",2,2
D-16,"(1451, 55)","(2191, 55)",2,2
D-2,"(2880, 25)","(8595, 25)",2,2
D-3,"(2880, 25)","(8640, 25)",2,2
D-4,"(2833, 25)","(8473, 25)",2,2
D-5,"(2561, 25)","(7628, 25)",2,2
D-6,"(2594, 25)","(7884, 25)",2,2
D-7,"(2583, 25)","(7642, 25)",2,2
D-8,"(2602, 25)","(7874, 25)",2,2
D-9,"(2583, 25)","(7406, 25)",2,2
E-1,"(2880, 25)","(8516, 25)",2,2
E-10,"(2880, 25)","(8505, 25)",2,2
E-11,"(2880, 25)","(8514, 25)",2,2
E-12,"(2880, 25)","(8512, 25)",2,2
E-13,"(2880, 25)","(8640, 25)",2,2
E-2,"(2880, 25)","(8532, 25)",2,2
E-3,"(2880, 25)","(8307, 25)",2,2
E-4,"(2880, 25)","(8354, 25)",2,2
E-5,"(2880, 25)","(8294, 25)",2,2
E-6,"(2880, 25)","(8300, 25)",2,2
E-7,"(2769, 25)","(8310, 25)",2,2
E-8,"(2880, 25)","(8532, 25)",2,2
E-9,"(2880, 25)","(8302, 25)",2,2
F-1,"(2869, 25)","(8584, 25)",2,2
F-2,"(2861, 25)","(8626, 25)",2,2
F-3,"(2880, 25)","(8376, 25)",2,2
F-4,"(2244, 55)","(3422, 55)",2,2
F-5,"(2598, 55)","(3922, 55)",2,2
F-7,"(2511, 55)","(5054, 55)",2,2
F-8,"(3342, 55)","(2487, 55)",2,2
G-1,"(2820, 25)","(8469, 25)",2,2
G-2,"(2478, 25)","(7361, 25)",2,2
G-3,"(2624, 25)","(7907, 25)",2,2
G-4,"(2551, 25)","(7632, 25)",2,2
G-6,"(2881, 25)","(8640, 25)",2,2
G-7,"(2446, 25)","(8029, 25)",2,2
M-1,"(2209, 55)","(2277, 55)",2,2
M-2,"(2208, 55)","(2277, 55)",2,2
M-3,"(2037, 55)","(2127, 55)",2,2
M-4,"(2076, 55)","(2038, 55)",2,2
M-5,"(2032, 55)","(2303, 55)",2,2
M-6,"(1565, 55)","(2049, 55)",2,2
M-7,"(1587, 55)","(2156, 55)",2,2
P-1,"(2872, 25)","(8505, 25)",2,2
P-10,"(4308, 55)","(6100, 55)",2,2
P-11,"(3969, 55)","(3535, 55)",2,2
P-14,"(2880, 55)","(6100, 55)",2,2
P-15,"(3682, 55)","(2856, 55)",2,2
P-2,"(2821, 25)","(8209, 25)",2,2
P-3,"(2855, 25)","(8493, 25)",2,2
P-4,"(2609, 25)","(7783, 25)",2,2
P-7,"(2853, 25)","(8071, 25)",2,2
R-1,"(2874, 25)","(7244, 25)",2,2
S-1,"(2818, 25)","(7331, 25)",2,2
S-2,"(926, 55)","(1827, 55)",2,2
T-1,"(2875, 25)","(8612, 25)",2,2
T-10,"(425, 55)","(670, 55)",2,2
T-12,"(1145, 55)","(2430, 55)",2,2
T-13,"(1145, 55)","(2430, 55)",2,2
T-2,"(2855, 25)","(8625, 25)",2,2
T-3,"(2876, 25)","(8579, 25)",2,2
T-4,"(2272, 55)","(2217, 55)",2,2
T-5,"(2272, 55)","(2218, 55)",2,2
T-8,"(748, 55)","(1519, 55)",2,2
T-9,"(439, 55)","(1096, 55)",2,2
